Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Num Training Samples
ece,CLMBR_DAPT,GBM,"0.01 [0.007, 0.016]","0.015 [0.008, 0.028]","-0.005 [-0.013, -0.001]",0.0,512
auprc,CLMBR,CLMBR_MIMIC,"0.19 [0.076, 0.308]","0.232 [0.096, 0.369]","-0.039 [-0.064, -0.016]",0.0,1024
auprc_c,CLMBR,CLMBR_MIMIC,"0.753 [0.702, 0.82]","0.793 [0.74, 0.853]","-0.038 [-0.05, -0.028]",0.0,1024
auroc,CLMBR,CLMBR_MIMIC,"0.768 [0.708, 0.835]","0.805 [0.739, 0.867]","-0.035 [-0.055, -0.021]",0.0,1024
ece,CLMBR,CLMBR_MIMIC,"0.015 [0.01, 0.022]","0.014 [0.009, 0.018]","0.001 [-0.0, 0.004]",0.1614,1024
auprc,CLMBR,CLMBR_MIMIC,"0.161 [0.063, 0.267]","0.197 [0.079, 0.321]","-0.035 [-0.06, -0.012]",0.0,128
auprc_c,CLMBR,CLMBR_MIMIC,"0.739 [0.695, 0.798]","0.774 [0.726, 0.834]","-0.036 [-0.049, -0.022]",0.0,128
auroc,CLMBR,CLMBR_MIMIC,"0.758 [0.709, 0.816]","0.794 [0.731, 0.855]","-0.036 [-0.052, -0.015]",0.0,128
ece,CLMBR,CLMBR_MIMIC,"0.011 [0.006, 0.021]","0.01 [0.005, 0.02]","0.001 [0.0, 0.001]",0.016,128
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.113 [0.044, 0.208]","0.102 [0.037, 0.196]","0.01 [0.003, 0.021]",0.0,4
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.65 [0.61, 0.691]","0.641 [0.604, 0.685]","0.008 [-0.009, 0.029]",0.344,4
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.659 [0.61, 0.704]","0.65 [0.609, 0.699]","0.008 [-0.013, 0.028]",0.458,4
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.022 [0.01, 0.042]","0.018 [0.008, 0.034]","0.004 [0.001, 0.008]",0.004,4
auprc,CLMBR,GBM,"0.082 [0.029, 0.166]","0.063 [0.018, 0.144]","0.018 [0.008, 0.031]",0.0,2
auprc_c,CLMBR,GBM,"0.591 [0.567, 0.619]","0.531 [0.52, 0.542]","0.06 [0.041, 0.083]",0.0,2
